zip,zip_lat,zip_lng,city,state_id,state_name,population,density,county_name
1238,42.29522,-73.22879,Lee,MA,Massachusetts,6047,67.0,Berkshire
1240,42.37208,-73.27646,Lenox,MA,Massachusetts,4534,81.9,Berkshire
1242,42.33328,-73.24920999999999,Lenox Dale,MA,Massachusetts,476,369.1,Berkshire
1243,42.351459999999996,-73.02322,Middlefield,MA,Massachusetts,334,6.9,Hampshire
1244,42.11608,-73.26271,Mill River,MA,Massachusetts,151,23.8,Berkshire
1245,42.188179999999996,-73.21891,Monterey,MA,Massachusetts,985,13.6,Berkshire
1247,42.69546,-73.07996,North Adams,MA,Massachusetts,16087,118.2,Berkshire
1253,42.211870000000005,-73.11616,Otis,MA,Massachusetts,731,15.4,Berkshire
1254,42.37982,-73.36545,Richmond,MA,Massachusetts,972,25.7,Berkshire
1255,42.108340000000005,-73.1229,Sandisfield,MA,Massachusetts,915,6.8,Berkshire
1256,42.596270000000004,-73.01957,Savoy,MA,Massachusetts,692,7.5,Berkshire
1257,42.09701,-73.36886,Sheffield,MA,Massachusetts,2121,22.6,Berkshire
1258,42.10257,-73.46175,South Egremont,MA,Massachusetts,374,5.6,Berkshire
1259,42.07553,-73.23564,Southfield,MA,Massachusetts,635,9.7,Berkshire
1260,42.29587,-73.34517,South Lee,MA,Massachusetts,240,36.9,Berkshire
1262,42.29354,-73.31770999999999,Stockbridge,MA,Massachusetts,1238,39.7,Berkshire
1264,42.23409,-73.19903000000001,Tyringham,MA,Massachusetts,137,4.7,Berkshire
1266,42.30802,-73.38405,West Stockbridge,MA,Massachusetts,1463,21.7,Berkshire
1267,42.67197,-73.23904,Williamstown,MA,Massachusetts,7989,56.6,Berkshire
1270,42.514920000000004,-73.04125,Windsor,MA,Massachusetts,778,9.4,Berkshire
1301,42.62406,-72.60401,Greenfield,MA,Massachusetts,17700,268.1,Franklin
1330,42.51377,-72.81395,Ashfield,MA,Massachusetts,1506,17.5,Franklin
1331,42.56728,-72.18293,Athol,MA,Massachusetts,13263,96.2,Worcester
1337,42.695029999999996,-72.57711,Bernardston,MA,Massachusetts,2596,26.9,Franklin
1338,42.57358,-72.82134,Buckland,MA,Massachusetts,187,20.9,Franklin
1339,42.60801,-72.89005999999999,Charlemont,MA,Massachusetts,1438,10.1,Franklin
1340,42.68319,-72.71797,Colrain,MA,Massachusetts,1701,15.0,Franklin
1341,42.50447,-72.70514,Conway,MA,Massachusetts,1833,19.8,Franklin
1342,42.544509999999995,-72.60591,Deerfield,MA,Massachusetts,1492,32.3,Franklin
1343,42.65444,-72.9811,Drury,MA,Massachusetts,75,5.9,Berkshire
1344,42.60777,-72.42882,Erving,MA,Massachusetts,1498,42.5,Franklin
1346,42.68892,-72.817,Heath,MA,Massachusetts,533,9.6,Franklin
1347,42.561370000000004,-72.51694,Lake Pleasant,MA,Massachusetts,166,110.7,Franklin
1349,42.57271,-72.48329,Millers Falls,MA,Massachusetts,1091,54.8,Franklin
1350,42.72265,-72.98244,Monroe Bridge,MA,Massachusetts,121,4.4,Franklin
1351,42.54282,-72.51905,Montague,MA,Massachusetts,2270,41.9,Franklin
1354,42.63366,-72.51108,Gill,MA,Massachusetts,1500,42.1,Franklin
1355,42.452890000000004,-72.33044,New Salem,MA,Massachusetts,878,7.2,Franklin
1360,42.67575,-72.44594000000001,Northfield,MA,Massachusetts,3032,34.2,Franklin
1364,42.61292,-72.29241,Orange,MA,Massachusetts,7969,78.4,Franklin
1366,42.480540000000005,-72.18777,Petersham,MA,Massachusetts,1277,12.2,Worcester
1367,42.6958,-72.91185,Rowe,MA,Massachusetts,522,7.6,Franklin
1368,42.680820000000004,-72.18602,Royalston,MA,Massachusetts,1261,11.6,Worcester
1370,42.59655,-72.72864,Shelburne Falls,MA,Massachusetts,4084,31.6,Franklin
1373,42.47292,-72.61561999999999,South Deerfield,MA,Massachusetts,4600,73.5,Franklin
1375,42.465109999999996,-72.55461,Sunderland,MA,Massachusetts,3684,100.0,Franklin
1376,42.59533,-72.55579,Turners Falls,MA,Massachusetts,5247,735.1,Franklin
1378,42.6748,-72.34581,Warwick,MA,Massachusetts,774,8.8,Franklin
1379,42.55285,-72.40252,Wendell,MA,Massachusetts,813,10.4,Franklin
1420,42.58578,-71.81662,Fitchburg,MA,Massachusetts,40337,513.7,Worcester
1430,42.66019,-71.92369000000001,Ashburnham,MA,Massachusetts,6089,63.6,Worcester
1431,42.676520000000004,-71.82323000000001,Ashby,MA,Massachusetts,3074,50.2,Middlesex
1432,42.56467,-71.57139000000001,Ayer,MA,Massachusetts,7089,323.1,Middlesex
1434,42.538540000000005,-71.6115,Devens,MA,Massachusetts,1795,131.3,Worcester
